id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
9,2020-10-29 18:43:04.627213,,,,,,f,,{},participant,6fc48d8585e1a921f5d63c823d819a03,mturk,9,3Q5ZZ9ZEVQMKHCQL238EEKWLAQ458X,9:3Q5ZZ9ZEVQMKHCQL238EEKWLAQ458X,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:28.503801,3,1,approved
15,2020-10-29 18:43:14.587656,,,,,,f,,{},participant,592f48c1a214e90c3e69f33846758b14,mturk,15,3E1QT0TDFRGWT0L09NR83T0QFCAI8K,15:3E1QT0TDFRGWT0L09NR83T0QFCAI8K,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:28.438689,3,2,approved
255,2020-10-29 19:16:40.717916,,,,,,f,,{},participant,ed3619f4ee19336909d3b01505ea31f0,mturk,255,34Q075JO1ZK3B5KZ6CTNIFDMFCP10Q,255:34Q075JO1ZK3B5KZ6CTNIFDMFCP10Q,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:23:06.473486,3,,bad_data
340,2020-10-29 19:43:08.37751,,,,,,f,,{},participant,a46f061f99ecb9fbb5834309c7eaa039,mturk,340,3IX2EGZR7DQY6GK2QEI86BAVIJRJRD,340:3IX2EGZR7DQY6GK2QEI86BAVIJRJRD,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:44:21.058871,,,returned
124,2020-10-29 18:53:08.930104,,,,,,f,,{},participant,aacd2767fa492fe588cbb048df56e20e,mturk,124,3AZHRG4CU6RZL8YETG7668SJDW230J,124:3AZHRG4CU6RZL8YETG7668SJDW230J,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:01:04.621628,3,,bad_data
213,2020-10-29 19:06:42.181977,,,,,,f,,{},participant,8d1e0fa4af38bd37e5d744af44869166,mturk,213,3K2755HG5UAO04F1PNW3MO1ZABFDFU,213:3K2755HG5UAO04F1PNW3MO1ZABFDFU,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:34:06.474644,3,1,approved
134,2020-10-29 18:54:02.145027,,,,,,f,,{},participant,f2734e7451d17c9397cfc18f9299be26,mturk,134,39KFRKBFIP2L4SNLKM27M3KEK0DOY0,134:39KFRKBFIP2L4SNLKM27M3KEK0DOY0,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:24:28.680376,3,2.2,approved
236,2020-10-29 19:12:13.656069,,,,,,f,,{},participant,002f4b679d7697cfc4f93dba2d41e25a,mturk,236,3WQQ9FUS6C1M6S7U3DZRH6WDKMQ8B1,236:3WQQ9FUS6C1M6S7U3DZRH6WDKMQ8B1,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:21:04.431629,3,,bad_data
215,2020-10-29 19:06:56.068647,,,,,,f,,{},participant,836b074912d483fba24e1504c9145511,mturk,215,3OCHAWUVGQRDEWCWHYOCW8WWYP9KX6,215:3OCHAWUVGQRDEWCWHYOCW8WWYP9KX6,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:34:22.544582,3,0.6,approved
232,2020-10-29 19:11:14.922605,,,,,,f,,{},participant,3bb16a7f6ff03ef552a1abf253f148a2,mturk,232,3FPRZHYEP0EFE9ZUWDVVR1I97SEV32,232:3FPRZHYEP0EFE9ZUWDVVR1I97SEV32,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:36:34.616419,3,0.8,approved
41,2020-10-29 18:44:42.764221,,,,,,f,,{},participant,0b94f498c4ff74be80d4ad4e13719f3b,mturk,41,3ITXP059PYQA7VKF53IDWLFR4L6JSX,41:3ITXP059PYQA7VKF53IDWLFR4L6JSX,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:11:52.869558,3,0.4,approved
147,2020-10-29 18:55:04.973218,,,,,,f,,{},participant,52da69d8b09bbd4d31bf50ddf443cdd7,mturk,147,3NJM2BJS4YDQMPYH3UXXECXLRHQCPW,147:3NJM2BJS4YDQMPYH3UXXECXLRHQCPW,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:22:03.099489,3,2.4,approved
49,2020-10-29 18:45:38.695565,,,,,,f,,{},participant,1a7a530ea0f20c844009c83c685f41b7,mturk,49,3K4J6M3CXG0WGX8KGXBJE8T5QNIAGO,49:3K4J6M3CXG0WGX8KGXBJE8T5QNIAGO,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:12:06.328122,3,0,approved
