id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
70,2020-10-29 18:42:36.137083,,,,,,f,,{},3QJOXOW4XLYZYKLI75B0NW3T7OSME3,AssignmentAccepted
71,2020-10-29 18:42:36.146947,,,,,,f,,{},3B3WTRP3DD9SWKQ8PCCUG9OKAMV29I,AssignmentAccepted
72,2020-10-29 18:42:37.321355,,,,,,f,,{},3IX2EGZR7DQY6GK2QEI86BAVIJNJR9,AssignmentAccepted
73,2020-10-29 18:42:37.458219,,,,,,f,,{},31QNSG6A5T0Z4G44QWNBC4AH1WZ87F,AssignmentAccepted
74,2020-10-29 18:42:37.459588,,,,,,f,,{},3JZQSN0I3SHRCOPSRDXBS94WN3VGF7,AssignmentAccepted
75,2020-10-29 18:42:37.490898,,,,,,f,,{},3YDGXNSEO112LTMLOYP49SQ7AU984V,AssignmentAccepted
76,2020-10-29 18:42:37.505278,,,,,,f,,{},3GNCZX450KU2TA1JJG168H7XRE5PA7,AssignmentAccepted
79,2020-10-29 18:42:37.541551,,,,,,f,,{},336YQZE83XLZ21SPW4IXJ2XGUVT5ML,AssignmentAccepted
81,2020-10-29 18:42:37.581345,,,,,,f,,{},3A7Y0R2P2QVI3C6EZDO0VTWJJ08JX5,AssignmentAccepted
84,2020-10-29 18:42:38.139264,,,,,,f,,{},3PJUZCGDJ8N3IZSX5TLVQ01NWMN89R,AssignmentAccepted
87,2020-10-29 18:42:38.192075,,,,,,f,,{},354P56DE9MAHN0JD4UTGTVAIDQ6S7Z,AssignmentAccepted
89,2020-10-29 18:42:38.560935,,,,,,f,,{},31LM9EDVONZDRISAX71RXR5LHMYNJP,AssignmentAccepted
91,2020-10-29 18:42:39.549818,,,,,,f,,{},3PXX5PX6LZ50PG090BJ5DX28AAQAB7,AssignmentAccepted
93,2020-10-29 18:42:39.605076,,,,,,f,,{},3KGTPGBS6ZSQGCEBNN7LC5BYN752U9,AssignmentAccepted
95,2020-10-29 18:42:39.651695,,,,,,f,,{},3I2PTA7R3V1T5ZBKVKTK20031MLKQ8,AssignmentAccepted
97,2020-10-29 18:42:41.226233,,,,,,f,,{},3S0TNUHWKVPFLP5EH9QXCWKDN728D8,AssignmentAccepted
99,2020-10-29 18:42:41.317247,,,,,,f,,{},3WAKVUDHUYNX2DBHTZOG8WS6YNR7UU,AssignmentAccepted
102,2020-10-29 18:42:41.348918,,,,,,f,,{},37KGEN7NJ5X9GE7L8ZJ3YCWSQ05PPN,AssignmentAccepted
104,2020-10-29 18:42:42.428516,,,,,,f,,{},3G5W44VEU9P2SAH6SOO88MW1VZCKGD,AssignmentAccepted
107,2020-10-29 18:42:42.648186,,,,,,f,,{},3WJ1OXY92CNHNI22XZZVMVC7245A88,AssignmentAccepted
109,2020-10-29 18:42:42.949461,,,,,,f,,{},3WQQ9FUS6C1M6S7U3DZRH6WDKMQ8B1,AssignmentAccepted
