id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
2978,2020-10-29 19:23:54.262932,,,,,,f,,{},335,337,26
2983,2020-10-29 19:23:54.319903,,,,,,f,,{},337,326,26
2984,2020-10-29 19:23:54.330876,,,,,,f,,{},326,337,26
2985,2020-10-29 19:23:54.340282,,,,,,f,,{},337,330,26
2986,2020-10-29 19:23:54.349642,,,,,,f,,{},330,337,26
2981,2020-10-29 19:23:54.299622,,,,,,t,2020-10-29 19:35:55.332622,{},337,325,26
2999,2020-10-29 19:24:19.715837,,,,,,t,2020-10-29 19:40:58.912068,{},57,340,29
2989,2020-10-29 19:23:54.386882,,,,,,f,,{},337,328,26
2990,2020-10-29 19:23:54.398036,,,,,,f,,{},328,337,26
3000,2020-10-29 19:24:19.720881,,,,,,t,2020-10-29 19:40:58.915752,{},58,340,29
2997,2020-10-29 19:24:06.005525,,,,,,t,2020-10-29 19:44:35.891416,{},53,339,27
2993,2020-10-29 19:23:54.427713,,,,,,t,2020-10-29 19:49:31.93442,{},337,334,26
2994,2020-10-29 19:23:54.440126,,,,,,t,2020-10-29 19:49:31.937656,{},334,337,26
2995,2020-10-29 19:23:59.468307,,,,,,t,2020-10-29 19:24:13.723213,{},57,338,29
2996,2020-10-29 19:23:59.477135,,,,,,t,2020-10-29 19:24:13.72696,{},58,338,29
2851,2020-10-29 19:22:20.593432,,,,,,t,2020-10-29 19:24:28.296344,{},51,329,26
2852,2020-10-29 19:22:20.60169,,,,,,t,2020-10-29 19:24:28.307154,{},52,329,26
2853,2020-10-29 19:22:20.609976,,,,,,t,2020-10-29 19:24:28.317883,{},329,325,26
2854,2020-10-29 19:22:20.61835,,,,,,t,2020-10-29 19:24:28.323932,{},325,329,26
2919,2020-10-29 19:23:04.974057,,,,,,t,2020-10-29 19:24:28.38015,{},333,329,26
2920,2020-10-29 19:23:04.983772,,,,,,t,2020-10-29 19:24:28.385712,{},329,333,26
2935,2020-10-29 19:23:36.366711,,,,,,t,2020-10-29 19:24:28.39525,{},334,329,26
2936,2020-10-29 19:23:36.377204,,,,,,t,2020-10-29 19:24:28.401136,{},329,334,26
2951,2020-10-29 19:23:39.038536,,,,,,t,2020-10-29 19:24:28.407481,{},335,329,26
2952,2020-10-29 19:23:39.046949,,,,,,t,2020-10-29 19:24:28.417116,{},329,335,26
2991,2020-10-29 19:23:54.408109,,,,,,t,2020-10-29 19:24:28.425807,{},337,329,26
